n,seed,independent_auc,ot_auc
5.000000000000000000e+02,0.000000000000000000e+00,5.010042899670023253e+00,9.138735988282478684e-02
5.000000000000000000e+02,1.000000000000000000e+00,4.981590311741368460e+00,1.021916449313118314e-01
5.000000000000000000e+02,2.000000000000000000e+00,5.111055798571551456e+00,9.450833960342490403e-02
5.000000000000000000e+02,3.000000000000000000e+00,5.125604994607995124e+00,9.649794444595209686e-02
5.000000000000000000e+02,4.000000000000000000e+00,5.314943577580367062e+00,9.323021504566417206e-02
1.000000000000000000e+03,0.000000000000000000e+00,4.972792060917968548e+00,4.462967181541492578e-02
1.000000000000000000e+03,1.000000000000000000e+00,5.126622844414831626e+00,5.257102093272829346e-02
1.000000000000000000e+03,2.000000000000000000e+00,4.943818938548066200e+00,4.469365878624841776e-02
1.000000000000000000e+03,3.000000000000000000e+00,4.826420640427798503e+00,4.845186170920788571e-02
1.000000000000000000e+03,4.000000000000000000e+00,5.014914126535632732e+00,4.689239183345482453e-02
